Sunlight,Abandoned,Sunlight,Not Found,True
Passenger Seat,Aimée,Daisy Chains (The Summer EP),Not Found,True
Airplanes (feat. Hayley Williams of Paramore),B.o.B,B.o.B Presents: The Adventures of Bobby Ray,Instrumental,True
Havana,Camila Cabello,Havana (Remix),Not Found,True
Come See the Wonder,Cavendish Music,"Champion Sound, Vol. 3: Rock & Pop",Not Found,False
So Far Away (feat. Jamie Scott & Romy Dya),David Guetta,So Far Away (feat. Jamie Scott & Romy Dya),Not Found,True
The Hum (Lost Frequencies Remix),Dimitri Vegas & Like Mike,The Hum (Lost Frequencies Remix),Not Found,False
The Hum,Dimitri Vegas & Like Mike,Armada 15 Years,Not Found,False
Swan Song,Dua Lipa,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",Instrumental,True
SLAY!,Eternxlkz,SLAY!,Instrumental,True
Eclipse,Hardwell,United We Are (Extended Deluxe Edition),Instrumental,False
Soldier,Highlyy,Soldier,Not Found,True
I'd Love To Change The World,Jetta,I'd Love To Change The World (Matstubs Remix),Not Found,True
Speed,Jim Yosef,Speed,Instrumental,False
Voyage (Original Mix),K1T,In The Mix: K1T - Suicide Robot Labelshowcase,Not Found,False
Carol Of The Bells,Lindsey Stirling,Warmer In The Winter (Deluxe Edition),Instrumental,False
Dreams,Lost Sky,Dreams,Instrumental,False
Einaudi: Experience,Ludovico Einaudi,In A Time Lapse (Deluxe Edition),Not Found,False
Experience (Starkey Remix),Ludovico Einaudi,In A Time Lapse (Deluxe Edition),Instrumental,False
Destroyer Of Worlds,Ludwig Goransson,Oppenheimer (Original Motion Picture Soundtrack),Instrumental,False
Shadow (Maceo Plex Remix),Maceo Plex,Shadow (Remixes),Not Found,False
Forbidden Voices,Martin Garrix,Forbidden Voices,Instrumental,False
Forever,Martin Garrix,Forever,Not Found,False
Poison,Martin Garrix,Poison,Instrumental,False
Home,mgk,Home,Not Found,True
WDWG,Nana Lourdes,WDWG,Not Found,False
Good For You,Selena Gomez,Good For You,Not Found,True
I Know What You Did Last Summer,Shawn Mendes,Handwritten (Deluxe),Not Found,True
Hypnotized,Sophie Ellis-Bextor,Hypnotized,Not Found,False
Prituri Se Planinata (Nit Grit Remix),Stellamara,Prituri Se Planinata,Instrumental,False
Takeaway (feat. Lennon Stella),The Chainsmokers,World War Joy...Takeaway,Not Found,True
Xenogenesis,TheFatRat,Xenogenesis,Instrumental,True
Memory Reboot,VØJ,Memory Reboot,Instrumental,False
Sunlight,Abandoned,Sunlight,Not Found,True
Passenger Seat,Aimée,Daisy Chains (The Summer EP),Not Found,True
Airplanes (feat. Hayley Williams of Paramore),B.o.B,B.o.B Presents: The Adventures of Bobby Ray,Instrumental,True
Come See the Wonder,Cavendish Music,"Champion Sound, Vol. 3: Rock & Pop",Not Found,False
The Hum (Lost Frequencies Remix),Dimitri Vegas & Like Mike,The Hum (Lost Frequencies Remix),Not Found,False
The Hum,Dimitri Vegas & Like Mike,Armada 15 Years,Not Found,False
Dramamine,Flawed Mangoes,Dramamine / Fragility,Not Found,False
Eclipse,Hardwell,United We Are (Extended Deluxe Edition),Instrumental,False
Speed,Jim Yosef,Speed,Instrumental,False
Voyage (Original Mix),K1T,In The Mix: K1T - Suicide Robot Labelshowcase,Not Found,False
Carol Of The Bells,Lindsey Stirling,Warmer In The Winter (Deluxe Edition),Instrumental,False
Dreams,Lost Sky,Dreams,Instrumental,False
Einaudi: Experience,Ludovico Einaudi,In A Time Lapse (Deluxe Edition),Instrumental,False
Experience (Starkey Remix),Ludovico Einaudi,In A Time Lapse (Deluxe Edition),Instrumental,False
Destroyer Of Worlds,Ludwig Goransson,Oppenheimer (Original Motion Picture Soundtrack),Instrumental,False
Shadow (Maceo Plex Remix),Maceo Plex,Shadow (Remixes),Not Found,False
Forbidden Voices,Martin Garrix,Forbidden Voices,Instrumental,False
Forever,Martin Garrix,Forever,Not Found,False
Poison,Martin Garrix,Poison,Instrumental,False
Hypnotized,Sophie Ellis-Bextor,Hypnotized,Not Found,False
Prituri Se Planinata (Nit Grit Remix),Stellamara,Prituri Se Planinata,Instrumental,False
Memory Reboot,VØJ,Memory Reboot,Instrumental,False
