Neele Neele Ambar Par,Kalyanji - Anandji,Kalaakaar (Original Motion Picture Soundtrack),Not Found,False
Yeh Dosti Hum Nahin,Kishore Kumar,Sholay (Original Motion Picture Soundtrack),Not Found,False
LIKHE JO KHAT TUJHE,Mohammed Rafi,Rafi Saab - Bouncers,Not Found,False
Phatela Jeb,Nitin Raikar,Aankhen (Original Motion Picture Soundtrack),Instrumental,False
Bin Tere Sanam,Udit Narayan,Yaara Dildara (Original Mostion Picture Soundtrack),Not Found,False
Falak Tak,Udit Narayan,Tashan,Not Found,False
"Saat Samundar Paar, Pt. 1",Udit Narayan,Vishwatma (Original Motion Picture Soundtrack),Not Found,False
Rasputin,Boney M.,Les Essentiels,Not Found,True
Neele Neele Ambar Par,Kalyanji - Anandji,Kalaakaar (Original Motion Picture Soundtrack),Not Found,False
Sara Zamana,Kishore Kumar,My Name Is Anthony Gonzalves,Not Found,True
Yeh Dosti Hum Nahin,Kishore Kumar,Sholay (Original Motion Picture Soundtrack),Not Found,False
Phatela Jeb,Nitin Raikar,Aankhen (Original Motion Picture Soundtrack),Instrumental,False
Bin Tere Sanam,Udit Narayan,Yaara Dildara (Original Mostion Picture Soundtrack),Not Found,False
"Saat Samundar Paar, Pt. 1",Udit Narayan,Vishwatma (Original Motion Picture Soundtrack),Not Found,False
